GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0400000US21,21,Kentucky,1724514,4759,1136917,4599,837485,5666,587597,3743,9.3,0.2,5.8,0.2,2.3,0.1,17.4,0.4,6.4,0.1,3.9,0.1,2.1,0.1,11.6,0.3,12.0,0.2,9.0,0.2,6.1,0.2,18.3,0.3,10.9,0.1,9.6,0.2,8.0,0.2,13.8,0.3,14.4,0.2,14.0,0.2,13.5,0.2,14.8,0.3,17.8,0.2,19.6,0.2,21.1,0.3,13.5,0.3,11.3,0.2,14.1,0.2,16.8,0.3,5.3,0.2,11.2,0.2,14.8,0.2,18.5,0.3,3.5,0.2,3.5,0.1,4.8,0.1,6.1,0.2,0.8,0.1,3.2,0.1,4.3,0.1,5.5,0.1,0.9,0.1,46535,288,59003,451,71165,443,26651,286,64436,355,76499,510,88828,535,38624,529,32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
0500000US21001,21001,"Adair County, Kentucky",7101,223,4866,215,3785,222,2235,257,12.2,2.4,5.8,2.0,2.0,1.0,28.4,6.0,9.0,2.0,4.0,1.6,2.8,1.5,20.4,4.5,15.0,2.6,14.0,3.4,10.6,2.9,17.0,4.7,12.1,2.3,11.5,2.4,11.5,2.8,12.7,4.3,16.8,2.6,20.0,3.1,20.5,3.4,8.9,3.3,16.5,2.2,20.7,3.1,23.2,3.6,6.9,2.8,9.6,1.9,12.8,2.7,15.1,3.0,3.9,2.4,6.0,1.5,7.1,1.9,8.9,2.4,1.4,1.3,1.9,0.8,2.8,1.2,3.6,1.5,0.0,1.3,1.0,0.5,1.3,0.8,1.7,1.0,0.3,0.5,36575,3426,44873,4737,51730,3827,15530,2335,46862,2368,56139,3188,N,N,25077,2878,45.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),43.8,(X)
0500000US21003,21003,"Allen County, Kentucky",7705,257,5693,309,4474,265,2012,276,8.1,2.0,5.0,1.8,1.1,0.6,21.6,5.7,7.9,1.7,4.8,1.8,4.7,2.1,16.7,4.3,12.1,2.4,10.9,2.8,8.9,2.8,20.1,5.0,12.3,2.4,11.5,2.7,10.5,2.8,12.3,4.8,17.7,3.4,16.2,3.3,15.2,3.2,15.8,5.5,18.6,2.5,21.6,3.3,23.5,3.6,9.6,3.1,12.0,2.2,15.7,2.8,18.4,3.2,1.5,1.2,7.8,1.8,10.1,2.4,12.6,3.0,1.5,0.9,1.7,0.7,1.9,0.9,2.5,1.2,0.9,1.0,1.8,0.9,2.4,1.2,2.8,1.5,0.0,1.5,40598,2927,51341,3501,60207,3913,19107,2513,55402,4453,64266,5537,N,N,27992,3124,27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
0500000US21005,21005,"Anderson County, Kentucky",8613,237,5929,312,4805,270,2684,297,8.1,2.1,4.7,2.2,3.4,2.0,17.3,5.2,3.5,1.4,0.7,0.7,0.9,0.9,9.3,4.3,8.3,2.2,6.2,2.6,3.0,1.8,13.6,4.5,11.9,2.2,10.2,2.9,9.6,3.3,18.8,5.3,16.3,2.6,15.3,3.0,12.7,3.2,18.3,5.3,21.3,3.5,22.7,4.4,23.0,4.2,14.9,4.7,12.4,2.4,15.2,3.2,17.1,3.4,5.6,3.4,13.9,2.2,18.7,3.3,22.6,3.8,1.7,1.3,2.4,0.9,3.5,1.3,4.3,1.6,0.0,1.1,2.0,0.9,2.7,1.3,3.3,1.6,0.5,0.8,51681,3353,65605,4196,72738,4159,30942,2279,62434,3426,73350,4075,N,N,34974,3929,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.5,(X)
0500000US21007,21007,"Ballard County, Kentucky",3225,139,2149,135,1726,135,1076,137,7.2,2.0,3.1,1.6,0.5,0.6,16.4,5.2,6.6,2.1,3.4,1.8,2.3,1.5,12.9,4.6,13.1,2.9,10.7,3.4,8.5,3.6,17.8,5.4,11.9,2.7,11.5,3.9,11.4,4.2,13.1,4.7,17.8,3.1,18.3,3.6,18.0,4.2,18.3,6.0,15.8,3.2,19.1,4.2,21.3,4.7,7.2,3.4,9.5,2.6,10.1,2.8,10.5,3.0,7.5,4.9,12.5,2.8,15.7,3.9,18.0,4.6,5.9,3.8,4.1,1.7,5.5,2.4,6.5,2.9,0.8,1.3,1.7,0.8,2.4,1.1,3.0,1.4,0.2,0.3,42988,2753,54776,5721,59419,7326,28182,6481,61171,4328,72225,6162,N,N,37876,4835,34.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.9,(X)
0500000US21009,21009,"Barren County, Kentucky",16927,348,11585,425,8734,408,5342,384,10.8,1.5,6.8,1.5,3.9,1.5,19.9,3.3,8.0,1.5,6.0,1.7,3.8,1.6,12.6,2.9,12.9,1.7,11.4,1.9,7.7,1.7,17.4,3.4,11.8,1.7,11.4,1.8,10.9,2.1,12.4,2.6,18.3,1.9,17.4,2.1,16.6,2.3,19.8,3.2,17.8,1.8,20.6,2.0,23.7,2.4,11.2,2.9,9.5,1.2,11.9,1.6,14.2,2.0,4.5,1.9,8.6,1.3,11.7,1.8,15.3,2.4,1.0,0.7,1.4,0.6,1.8,0.8,2.4,1.1,0.4,0.7,1.0,0.4,1.1,0.6,1.4,0.7,0.7,0.7,39658,1505,47197,2486,56375,2535,25031,2601,50553,2099,58405,2922,N,N,32292,2662,32.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.7,(X)
0500000US21011,21011,"Bath County, Kentucky",4509,192,3357,215,2399,229,1152,186,12.3,2.7,7.8,2.2,1.6,1.0,28.0,8.4,5.8,1.8,3.4,1.9,1.5,1.4,13.6,4.5,16.3,3.2,13.1,3.2,9.7,3.2,24.6,7.8,10.9,2.5,11.5,3.2,11.9,4.2,8.8,4.3,16.7,3.4,21.4,4.1,24.8,5.8,5.8,2.5,18.5,4.1,21.6,4.6,24.1,6.0,10.0,6.2,8.3,2.7,8.1,2.9,9.4,3.8,5.2,5.6,7.5,2.5,8.4,3.0,11.4,4.1,3.3,3.4,2.0,1.4,2.4,1.8,3.3,2.5,0.8,1.4,1.8,1.3,2.4,1.8,2.2,1.8,0.0,2.6,38763,3975,42390,4129,50679,7581,17225,2513,52338,5963,59104,7728,N,N,28865,6598,40.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.7,(X)
0500000US21013,21013,"Bell County, Kentucky",11063,349,6982,377,4571,375,4081,399,22.7,2.4,18.1,2.8,10.7,2.4,31.1,5.0,12.5,2.2,7.5,2.0,6.2,2.5,22.2,4.9,16.7,2.5,16.1,2.6,13.5,3.3,18.8,4.0,13.0,2.0,13.7,2.5,15.9,3.7,10.7,3.4,13.3,2.4,14.4,2.6,16.5,3.4,10.7,4.0,10.4,1.8,13.9,2.4,15.4,3.1,4.7,2.4,5.9,1.5,8.8,2.1,12.0,2.8,0.9,0.7,4.2,1.1,6.0,1.6,7.4,2.4,0.3,0.5,0.7,0.5,1.1,0.8,1.8,1.2,0.0,0.7,0.5,0.4,0.4,0.4,0.7,0.6,0.7,0.9,23558,2343,31128,2524,38104,3400,14336,1185,35347,2897,41039,2792,N,N,24201,5961,38.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.8,(X)
0500000US21015,21015,"Boone County, Kentucky",46095,475,34772,771,27095,758,11323,707,2.9,0.6,2.0,0.7,0.9,0.5,6.8,1.9,3.1,0.5,1.5,0.6,0.4,0.2,7.7,1.7,7.8,0.9,5.7,1.0,2.7,0.6,15.9,2.3,7.1,0.9,5.4,0.9,4.1,0.8,13.5,2.3,11.6,1.2,9.7,1.3,9.3,1.5,17.8,3.1,18.7,1.3,18.4,1.4,17.3,1.7,19.1,2.4,15.1,1.1,17.1,1.3,18.3,1.6,8.5,2.1,18.9,1.4,22.4,1.6,25.6,1.8,6.3,1.9,8.0,0.9,9.4,1.2,11.5,1.5,2.7,0.9,6.7,0.8,8.4,1.0,10.0,1.3,1.6,1.1,72731,2787,85821,3448,95746,3328,39468,2799,90790,2456,101923,3112,113637,4007,52933,4578,33.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X)
0500000US21017,21017,"Bourbon County, Kentucky",8116,191,5417,291,3956,283,2699,257,7.8,2.1,5.0,2.0,1.2,0.9,15.7,4.6,5.3,1.8,2.6,1.2,2.1,1.3,10.5,4.8,12.8,2.2,10.2,2.5,8.6,2.9,17.5,3.9,12.4,2.8,9.9,2.8,5.6,1.8,18.7,6.0,13.2,2.3,13.3,2.6,11.6,2.7,12.6,3.7,17.7,2.8,20.5,3.5,23.4,4.1,12.1,4.4,13.3,2.1,16.4,2.6,19.3,3.0,5.6,2.7,11.8,1.9,14.5,2.3,18.6,2.8,5.2,3.1,3.5,1.2,5.0,1.7,6.5,2.4,0.4,0.5,2.2,0.8,2.5,1.2,3.2,1.5,1.6,1.2,47886,5525,59520,3547,72095,4159,27104,2354,63736,4010,73074,5128,N,N,42106,6207,30.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
